category,dest_zone,pack_type,handling,weather,customs,distance_km,weight_kg,volume_m3,profit_usd,risk_event
spare_parts,APAC,polybag,standard,clear,high,6967.587638091663,8.737418341317838,0.026920790795971494,64.14599624221374,1
cosmetics,APAC,crate,standard,clear,medium,6798.72919912681,10.03324754186115,0.014030444519019789,97.49184713377448,1
spare_parts,NA,box,hazmat,clear,medium,6738.969099756005,1.3990761526936142,0.034076627509636775,36.395433898125106,0
pharma,NA,box,standard,clear,low,5804.422474786956,4.161342510313114,0.01854218812874849,81.56481844786721,0
electronics,EU,box,standard,storm,medium,3366.357634831011,4.108674156141095,0.035948895235697234,79.69747337969184,0
documents,NA,box,standard,clear,medium,6154.547116236751,7.1565659933076855,0.04515325651049189,36.73146689520466,0
spare_parts,EU,box,standard,clear,medium,3765.0090204318994,6.620081420519514,0.05443935562705906,57.32002298807826,1
spare_parts,AF,box,standard,clear,low,5178.574142785952,4.765408566253121,0.045491832296505594,78.68793644920262,0
electronics,NA,polybag,standard,clear,high,5922.4320807249205,7.286553887093132,0.029855338093139276,102.95610809881967,1
cosmetics,EU,box,fragile,clear,low,4012.623655506907,2.759465281093013,0.00930965520769352,41.75097219116559,0
cosmetics,APAC,box,fragile,clear,medium,7107.621960437942,3.6367240048192606,0.012149641901887092,31.862859201045165,0
documents,ME,polybag,standard,clear,high,3733.7105675428247,6.20517060914473,0.02352054149105812,23.79588029469395,0
pharma,NA,box,fragile,rain,low,6617.688092288136,0.6362356028114057,0.04125624845527527,54.60996819277213,1
spare_parts,NA,box,standard,clear,medium,6956.424442321311,3.3896728007667827,0.02680264741566789,49.560544221350206,0
cosmetics,AF,box,standard,rain,medium,3808.3539123762184,0.7185877385336488,0.033507273795174465,45.259504404738145,0
fashion,NA,box,standard,clear,high,6576.339439257446,5.785827845878221,0.05111929857981923,48.68993226690158,0
food,APAC,box,standard,clear,high,6803.458597637562,2.2936074587350817,0.03532245013094792,37.81211331325688,0
electronics,APAC,box,standard,clear,medium,6820.2119820395355,2.630179237548629,0.019172261192789686,62.343185700709405,0
spare_parts,EU,polybag,standard,clear,high,2283.624008309094,10.250990436918325,0.07586736327836408,110.86479011038833,1
pharma,APAC,box,standard,clear,low,6680.754621924528,8.4928151184508,0.040730596586524316,65.83699340037609,0
spare_parts,NA,polybag,standard,clear,low,5818.793669783136,7.903119657676394,0.04348073543406013,25.548370506323938,0
fashion,EU,polybag,standard,rain,medium,3161.40579825779,4.567346839274756,0.03242230369420557,40.646050669042644,1
documents,EU,box,standard,clear,medium,2742.009009577774,4.887010259497827,0.06473426849885017,27.185062420293786,0
documents,AF,box,hazmat,clear,low,5281.562120452642,2.476181591913561,0.07549662089281556,23.699031873735073,1
spare_parts,NA,polybag,standard,clear,medium,6499.357843727035,8.30557224299127,0.040371741282182835,59.07806938866388,0
