route_priority_rank,route_key,dest_zone,handling,customs,high_value_shipments,risky_shipments,risk_rate,total_profit_usd,avg_profit_usd,avg_distance_km,avg_weight_kg,avg_volume_m3,severe_weather_share,hazmat_share,route_risk_score,risk_decile,operational_risk_tier
1,me|fragile|medium,me,fragile,medium,31,13,0.41935483870967744,3182.297121291317,102.654745848107,4207.255236768249,10.762273293402565,0.03465155984276838,0.12903225806451613,0.0,0.3846041055718475,1,critical
2,eu|fragile|high,eu,fragile,high,26,9,0.34615384615384615,2582.196135518065,99.31523598146404,2895.908201846337,10.460536732991272,0.034982881460419925,0.038461538461538464,0.0,0.3384615384615385,1,critical
3,na|fragile|medium,na,fragile,medium,37,13,0.35135135135135137,3532.726226528405,95.4790872034704,6524.42908847822,7.784146547048915,0.03845736512234235,0.05405405405405406,0.0,0.3211916461916462,1,critical
4,apac|fragile|medium,apac,fragile,medium,49,19,0.3877551020408163,5240.547742066269,106.94995391971977,6850.742194461803,10.529722681004204,0.039861658421698504,0.061224489795918366,0.0,0.3157003710575139,2,critical
5,af|standard|high,af,standard,high,42,15,0.35714285714285715,4228.709730541567,100.68356501289446,5233.3967419228875,8.678110033525565,0.03402929633069556,0.07142857142857142,0.0,0.3102272727272727,2,critical
6,me|standard|high,me,standard,high,38,13,0.34210526315789475,3937.303005558823,103.61323698839007,4242.0201180613,9.128197083733742,0.035301016611619336,0.05263157894736842,0.0,0.30406698564593304,2,critical
7,na|fragile|low,na,fragile,low,31,9,0.2903225806451613,2955.129449505423,95.32675643565881,6542.905838083509,8.792873088025662,0.04045002603706014,0.03225806451612903,0.0,0.29835043988269794,3,high
8,na|standard|high,na,standard,high,65,22,0.3384615384615385,6396.002914795695,98.40004484301069,6503.363341504002,8.855890002196027,0.03451848935433358,0.07692307692307693,0.0,0.2827972027972028,3,high
9,apac|standard|high,apac,standard,high,84,30,0.35714285714285715,7834.679032458728,93.26998848165152,6777.421931628196,8.47568954685666,0.03412706562419476,0.08333333333333333,0.0,0.26655844155844155,3,high
10,eu|fragile|low,eu,fragile,low,38,10,0.2631578947368421,3815.6893659787747,100.41287805207303,3048.7242842438704,8.97727631664475,0.031018154987807568,0.07894736842105263,0.0,0.26632775119617225,4,high
11,eu|fragile|medium,eu,fragile,medium,37,9,0.24324324324324326,3528.406750148556,95.36234459860962,2900.840290191319,8.320741047837675,0.03496912101670282,0.05405405405405406,0.0,0.2620085995085995,4,high
12,apac|fragile|low,apac,fragile,low,51,12,0.23529411764705882,4996.062770186395,97.96201510169402,6778.317965192838,8.719900698279671,0.03459699775795521,0.058823529411764705,0.0,0.22954545454545455,5,high
13,na|standard|medium,na,standard,medium,133,43,0.3233082706766917,13379.950290953515,100.60113000716929,6443.553546250877,9.151957187622678,0.03443071080298091,0.09022556390977443,0.0,0.22456425153793574,5,high
14,af|standard|medium,af,standard,medium,79,19,0.24050632911392406,7443.966688104554,94.22742643170322,5180.962472070113,8.903357929691468,0.033300568144779885,0.11392405063291139,0.0,0.20684695051783658,6,moderate
15,me|standard|low,me,standard,low,73,16,0.2191780821917808,7221.800264578962,98.92877074765701,4118.027203759052,9.395590457668941,0.033888691101272975,0.136986301369863,0.0,0.20319115815691158,6,moderate
16,af|standard|low,af,standard,low,69,14,0.2028985507246377,6505.713587800545,94.28570417102239,5165.143674420651,8.77395918001528,0.03619537291777651,0.057971014492753624,0.0,0.19293478260869565,7,moderate
17,eu|standard|high,eu,standard,high,71,14,0.19718309859154928,6889.34894668092,97.03308375606929,2995.971261376851,8.423180126873936,0.034832708034121085,0.07042253521126761,0.0,0.18569142125480154,7,moderate
18,na|standard|low,na,standard,low,116,27,0.23275862068965517,11591.336362737726,99.92531347187695,6465.414623199382,9.420486646459045,0.034328827206713826,0.04310344827586207,0.0,0.16884796238244515,8,moderate
19,apac|standard|low,apac,standard,low,147,34,0.23129251700680273,14804.394420099452,100.71016612312552,6820.342648141886,9.130908426524018,0.03634969209286413,0.10884353741496598,0.0,0.1607838589981447,8,moderate
20,apac|standard|medium,apac,standard,medium,188,48,0.2553191489361702,18133.652112051837,96.45559634070126,6874.830284214064,9.108039355810837,0.0341088566168463,0.047872340425531915,0.0,0.1603723404255319,9,watch
21,eu|standard|medium,eu,standard,medium,149,33,0.2214765100671141,14550.380560230762,97.65356080691787,3041.1283093788074,9.077162393434595,0.03701207762303076,0.09395973154362416,0.0,0.15834350213544843,9,watch
22,me|standard|medium,me,standard,medium,81,14,0.1728395061728395,8006.406279809185,98.8445219729529,4188.644922765763,9.215593323871168,0.0344011344995073,0.07407407407407407,0.0,0.1489057239057239,10,watch
23,eu|standard|low,eu,standard,low,110,13,0.11818181818181818,10973.309171288087,99.75735610261897,3072.716124643826,8.702954480106685,0.035210288034670544,0.05454545454545454,0.0,0.1075,10,watch
